model_id,gpus
google/paligemma-3b-pt-224,1
google/paligemma-3b-mix-224,1
microsoft/Phi-3-vision-128k-instruct,1
microsoft/Phi-3.5-vision-instruct,1
Qwen/Qwen2-VL-7B-Instruct,1
Qwen/Qwen2-VL-72B-Instruct,1
fixie-ai/ultravox-v0_3,1
TIGER-Lab/VLM2Vec-Full,1
MrLight/dse-qwen2-2b-mrl-v1,1
albert/albert-base-v1,1
albert/albert-base-v2,1
albert/albert-xlarge-v2,1
ai21labs/AI21-Jamba-1.5-Large,8
bigscience/bloom,8
bigscience/bloomz,8
databricks/dbrx-base,8
databricks/dbrx-instruct,8
deepseek-ai/DeepSeek-V2,8
deepseek-ai/DeepSeek-V2-Chat,8
deepseek-ai/DeepSeek-V3-Base,8
deepseek-ai/DeepSeek-V3,8
meta-llama/Llama-3.2-90B-Vision-Instruct,8
meta-llama/Meta-Llama-3.1-405B-Instruct,8
mistral-community/Mixtral-8x22B-v0.1,8
mgoin/Nemotron-4-340B-Base-hf-FP8,8
Snowflake/snowflake-arctic-base,8
Snowflake/snowflake-arctic-instruct,8
xai-org/grok-1,8
